"cargo","ciudad","link","empresa","fpublicacion"
"Vendedor Técnico de Mesón (Santiago)","Ñuñoa, Región Metropolitana","http://www.bumeran.cl/empleos/vendedor-tecnico-de-meson-santiago-1002584237.html","","31 de agosto de 2015"
"Account Manager Hunter","Providencia, Región Metropolitana","http://www.bumeran.cl/empleos/account-manager-hunter-page-personnel-1002586069.html","Page Personnel","28 de agosto de 2015"
"VENDEDOR TECNICO DE TERRENO (SANTIAGO)","Ñuñoa, Región Metropolitana","http://www.bumeran.cl/empleos/vendedor-tecnico-de-terreno-santiago-1002584238.html","","31 de agosto de 2015"
"Trabajo Inmediato Villa Alemana Vendedor en Terreno Telecomunicaciones","Villa Alemana, Región V","http://www.bumeran.cl/empleos/trabajo-inmediato-villa-alemana-vendedor-en-terreno-telecomunicaciones-ecr-group-1002584494.html","ECR group","03 de agosto de 2015"
"Analista de Contabilidad (Reemplazo)","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/analista-de-contabilidad-reemplazo-grupo-siglo-outsourcing-1002585956.html","Grupo Siglo Outsourcing","17 de agosto de 2015"
"Analista Contable (Contador) Proyecto 6 meses","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-contador-proyecto-6-meses-page-personnel-1002496754.html","Page Personnel","03 de agosto de 2015"
"Ejecutivo de Agendamiento Call Center","Huechuraba, Región Metropolitana","http://www.bumeran.cl/empleos/ejecutivo-de-agendamiento-call-center-teleperformance-1002585578.html","Teleperformance","07 de agosto de 2015"
"Analista contable","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-vision-integral-rrhh-spa-1002586668.html","Visión Integral RRHH SPA","23 de agosto de 2015"
"Account Manager Farmer","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/account-manager-farmer-page-personnel-1002585926.html","Page Personnel","07 de agosto de 2015"
"Analista contable","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-human-net-consultores-1002224159.html","Human Net Consultores","20 de agosto de 2015"
"Analista Contable con Conocimientos en el Ámbito Tributario","Ñuñoa, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-con-conocimientos-en-el-ambito-tributario-1002317004.html","","31 de agosto de 2015"
"Jefe de RR.HH","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/jefe-de-rr.hh-seek-consultores-ltda-1002586578.html","Seek Consultores Ltda","31 de agosto de 2015"
"TRABAJO INMEDIATO!!! Viña del Mar - CARGO Vendedor Terreno Telecomunicaciones","Viña del Mar, Región V","http://www.bumeran.cl/empleos/trabajo-inmediato!!!-vina-del-mar-cargo-vendedor-terreno-telecomunicaciones-ecr-group-1002586746.html","ECR group","24 de agosto de 2015"
"Ejecutivo Call Center Turnos Rotativos","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/ejecutivo-call-center-turnos-rotativos-adecco-recursos-humanos-1002585104.html","Adecco Recursos Humanos","20 de agosto de 2015"
"Vendedor en Terreno Curico","Curicó, Región VII","http://www.bumeran.cl/empleos/vendedor-en-terreno-curico-ecr-group-1002584491.html","ECR group","03 de agosto de 2015"
"Trabajo Inmediato Los Andes Vendedor en Terreno telecomunicaciones","Los Andes, Región V","http://www.bumeran.cl/empleos/trabajo-inmediato-los-andes-vendedor-en-terreno-telecomunicaciones-ecr-group-1002584496.html","ECR group","03 de agosto de 2015"
"TRABAJO INMEDIATO!!! Viña del Mar - CARGO Vendedor Terreno Telecomunicaciones","Viña del Mar, Región V","http://www.bumeran.cl/empleos/trabajo-inmediato!!!-vina-del-mar-cargo-vendedor-terreno-telecomunicaciones-ecr-group-1002584499.html","ECR group","03 de agosto de 2015"
"Asistente de Bodega","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/asistente-de-bodega-grupo-siglo-outsourcing-1002586707.html","Grupo Siglo Outsourcing","24 de agosto de 2015"
"Supervisores de Venta Convenio","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/supervisores-de-venta-convenio-grupo-nuestros-parques-1002586838.html","Grupo Nuestros Parques","25 de agosto de 2015"
"Asistente Administrativo de Recursos Humanos","Ñuñoa, Región Metropolitana","http://www.bumeran.cl/empleos/asistente-administrativo-de-recursos-humanos-1001664186.html","","31 de agosto de 2015"
"Vendedor Técnico, Santiago","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/vendedor-tecnico-santiago-5s-consultores-1002585660.html","5s consultores","03 de agosto de 2015"
"Asistente de RRHH","Peñalolén, Región Metropolitana","http://www.bumeran.cl/empleos/asistente-de-rrhh-human-net-consultores-1002583260.html","Human Net Consultores","20 de agosto de 2015"
"Vendedores V Region","Viña del Mar, Región V","http://www.bumeran.cl/empleos/vendedores-v-region-truly-nolen-1002586900.html","Truly Nolen","26 de agosto de 2015"
"Vendedor integral Santiago Centro","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/vendedor-integral-santiago-centro-1001796895.html","","13 de agosto de 2015"
"Analista Contable","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-seek-consultores-ltda-1002512236.html","Seek Consultores Ltda","31 de agosto de 2015"
"Atención Cliente Rubro Alimentación - Call Center","Huechuraba, Región Metropolitana","http://www.bumeran.cl/empleos/atencion-cliente-rubro-alimentacion-call-center-teleperformance-1002585705.html","Teleperformance","03 de agosto de 2015"
"Supervisor Contable","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/supervisor-contable-everis-1002586396.html","Everis","18 de agosto de 2015"
"CONTADOR / ANALISTA DE CUENTAS POR COBRAR. REEMPLAZO POR 3 MESES","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/contador-analista-de-cuentas-por-cobrar.-reemplazo-por-3-meses-ecr-group-1002585286.html","ECR group","24 de agosto de 2015"
"ANALISTA TRIBUTARIO CONTABLE. AUMENTO OCASIONAL","Huechuraba, Región Metropolitana","http://www.bumeran.cl/empleos/analista-tributario-contable.-aumento-ocasional-ecr-group-1002586505.html","ECR group","24 de agosto de 2015"
"Analista Contable (RNLZ)","Macul, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-rnlz-page-personnel-1002585673.html","Page Personnel","10 de agosto de 2015"
"Vendedores todo terreno","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/vendedores-todo-terreno-grupo-nuestros-parques-1002585713.html","Grupo Nuestros Parques","03 de agosto de 2015"
