"cargo","ciudad","link","empresa","fpublicacion"
"Vendedores Iquique","Iquique","http://www.trabajando.cl/empleos/ofertas/2687194/Vendedores_Iquique.html","Importante Empresa de Consumo Masivo","31-08-2015"
"Ingeniero de procesos 11634","santiago","http://www.trabajando.cl/empleos/ofertas/2688112/Ingeniero_de_procesos_11634.html","Ingeniería Informática Kibernum S.A.","31-08-2015"
"Práctica para el Área de Contabilidad","Nos, San Bernardo","http://www.trabajando.cl/empleos/ofertas/2640168/Practica_para_el_Area_de_Contabilidad.html","CAROZZI requiere contratar:","31-08-2015"
"Práctica Contabilidad","San Bernardo","http://www.trabajando.cl/empleos/ofertas/2595991/Practica_Contabilidad.html","Sitrans","31-08-2015"
"Analista Mejora Continua Facturación","Santiago","http://www.trabajando.cl/empleos/ofertas/2687034/Analista_Mejora_Continua_Facturacion.html","EMPRESA LÍDER EN TELECOMUNICACIONES","27-08-2015"
"Desarrollador N° 934","Las Condes","http://www.trabajando.cl/empleos/ofertas/2690884/Desarrollador_N_934.html","Ingeniería Informática Kibernum S.A.","31-08-2015"
"/Analista de Control de Facturación  - Pre y Post natal","Las Condes","http://www.trabajando.cl/empleos/ofertas/2662040/Analista_de_Control_de_Facturacion_Pre_y_Post_natal.html","Manpower","17-08-2015"
"Analista de Facturación","Las Condes","http://www.trabajando.cl/empleos/ofertas/2685117/Analista_de_Facturacion.html","Adecco NLC","28-08-2015"
"Ingenieros para Consultor Staff de Consultoría en Gestión y Tecnología","Las Condes","http://www.trabajando.cl/empleos/ofertas/2383268/Ingenieros_para_Consultor_Staff_de_Consultoria_en_Gestion_y_Tecnologia.html","EY","31-08-2015"
"Desarrollador VB6.0 - NET - SQL SERVER 2005 2008./750.000 liq.","Santiago Centro","http://www.trabajando.cl/empleos/ofertas/2686107/Desarrollador_VB6_0_NET_SQL_SERVER_2005_2008_750_000_liq.html","Grupo Intellego","31-08-2015"
"Programador","Faena minera","http://www.trabajando.cl/empleos/ofertas/2638276/Programador.html","Importante empresa de servicios a la mineria","22-07-2015"
"Analista de Bodegas","Calama","http://www.trabajando.cl/empleos/ofertas/2653789/Analista_de_Bodegas.html","Empresa de fragmentación de Rocas","07-08-2015"
